"area","year","est","lwr","upr","log_est","se"
"coastwide",2003,109008.292499545,95933.3957049961,123865.18528133,11.599179236295,0.0651898720483695
"coastwide",2004,117992.622133175,102422.102645343,135930.219340164,11.678377377198,0.0722051853361576
"coastwide",2005,105822.042959666,93396.5791707,119900.588175616,11.5695141222599,0.0637277650407408
"coastwide",2006,98212.9510632271,86661.9106764211,111303.612870519,11.4948933702008,0.0638397583703163
"coastwide",2007,92714.7247177102,81907.3129804839,104948.140363596,11.4372825816335,0.0632353579837366
"coastwide",2008,70240.1389890833,61999.1926462764,79576.4737349698,11.159675207081,0.0636739072540152
"coastwide",2009,67469.3323992931,59408.0202100844,76624.51632471,11.119428438794,0.0649215614111189
"coastwide",2010,66174.384827633,58636.3382615699,74681.4916678672,11.1000487309075,0.061704623978016
"coastwide",2011,77942.1151220203,68970.4727626654,88080.7839406709,11.2637217163487,0.0623929604310853
"coastwide",2012,68711.4837429409,60935.7148987226,77479.4881130605,11.1376716220714,0.0612750487648138
"coastwide",2013,77654.0581356378,67402.4778881842,89464.8525375669,11.2600190890997,0.0722370564317435
"coastwide",2014,79834.2162933246,70640.3101595088,90224.7183906428,11.2877074671455,0.0624252497167532
"coastwide",2015,79678.5033968179,70273.8422363566,90341.7786977384,11.2857551094116,0.0640829063807673
"coastwide",2016,81776.4647164328,72614.1740640781,92094.8322791183,11.3117447637892,0.0606283319117744
"coastwide",2017,106915.20090349,94861.2463380259,120500.843342299,11.5797912843174,0.0610321144703505
"coastwide",2018,112525.287104463,99553.1869972437,127187.693532026,11.6309332496306,0.0624939680428888
"coastwide",2019,101938.14719256,86061.499740958,120743.722620797,11.5321215082586,0.0863812175443476
"coastwide",2021,157177.571165622,140744.38988765,175529.47508064,11.9651314717344,0.0563432726826837
"coastwide",2022,234374.566745279,207652.986365716,264534.782275139,12.3646758271516,0.0617624596285868
"WA",2003,19470.3469541116,16099.5800859687,23546.8508177971,9.8766479181413,0.0969912970979095
"WA",2004,18284.3817259996,14270.7710466259,23426.8081247869,9.81380251683158,0.126448127146983
"WA",2005,13376.6490055879,10851.9964103877,16488.647051838,9.50126585430202,0.10671701773704
"WA",2006,12448.5117929173,9518.0133240239,16281.2806184313,9.42935636004257,0.136948913655193
"WA",2007,11798.2281318379,9405.58158821638,14799.5300179293,9.37570464086004,0.115637871221298
"WA",2008,9578.45342810693,7445.50721771952,12322.4338371556,9.16727142036533,0.128525498894663
"WA",2009,8432.87841665207,6395.42095500663,11119.4304316068,9.03989344190306,0.141102544022187
"WA",2010,9734.60958972596,7820.22054007038,12117.6408489794,9.18344281322461,0.11172387847692
"WA",2011,10657.1665800021,8545.01924864772,13291.3918867869,9.27398786313962,0.112697996857913
"WA",2012,7650.21815195987,6134.57722323582,9540.32130378916,8.94248944301005,0.112651560053751
"WA",2013,8612.40014657713,6630.38325098275,11186.9002857064,9.06095832124334,0.133441449036315
"WA",2014,10314.3791434221,7961.94197381463,13361.8679292245,9.24129423401109,0.132076926111879
"WA",2015,9624.83541902358,7063.24542445784,13115.4237572598,9.17210205968757,0.157881545486292
"WA",2016,10300.2043607452,7965.08860091153,13319.9032915935,9.23991901486995,0.131173669942473
"WA",2017,15657.6450874631,12277.7262340943,19968.0172867973,9.65871458068032,0.124069910534885
"WA",2018,27822.2826800036,21933.909895299,35291.4467699137,10.2335925138728,0.121330494044316
"WA",2019,16041.1569919289,12084.6310293643,21293.0553704497,9.68291301048553,0.144504313006636
"WA",2021,23643.6729635676,18919.409266061,29547.6070815253,10.0708508301605,0.113730258578438
"WA",2022,38882.5772621317,30241.8756391072,49992.0981286818,10.5683015439837,0.12822617787538
"OR",2003,31176.7712318099,25952.3127568365,37452.9651190553,10.3474285847101,0.0935795647045141
"OR",2004,31023.1416828567,25794.4362977237,37311.7407477339,10.342488710869,0.0941724501294064
"OR",2005,27370.0887921322,22884.8876708579,32734.342910634,10.2172060461702,0.0913149440112518
"OR",2006,26170.4267628658,22072.429918786,31029.2631790218,10.1723853027227,0.0868897134548736
"OR",2007,23778.8271217194,20266.8698929613,27899.3560560131,10.0765508469813,0.0815362126001956
"OR",2008,19405.4186395864,16471.0423087887,22862.5648284976,9.87330761737016,0.0836487365075708
"OR",2009,17571.6757134559,14810.3244052042,20847.8746941127,9.77404355019376,0.0872280001316946
"OR",2010,18361.8040661524,15370.0502267331,21935.8976444563,9.8180279200309,0.0907423896889767
"OR",2011,18825.1459030452,15810.6825761124,22414.346538483,9.84294880313183,0.0890361769614698
"OR",2012,18535.1755427262,15791.5678508279,21755.4542807264,9.82742558641812,0.0817332315552897
"OR",2013,19464.1270905424,15937.2104866635,23771.5529774686,9.87632841396025,0.102000077217778
"OR",2014,19182.8844929048,16191.5486115019,22726.8599377038,9.86177372779228,0.0864959941534506
"OR",2015,25161.5499439568,21271.5837178584,29762.8800929718,10.1330723124129,0.085687773088628
"OR",2016,25521.4362103207,21930.5801173448,29700.249731302,10.1472740137091,0.0773670948567463
"OR",2017,29364.4745321727,25100.84303787,34352.3268620778,10.2875408734384,0.0800444104860421
"OR",2018,27921.7207782135,23600.0226386137,33034.8196336441,10.2371601874346,0.0857960852773215
"OR",2019,28075.7251179862,22551.6432948678,34952.9446965004,10.2426606071622,0.111786437520344
"OR",2021,47052.4414787382,40181.7999678692,55097.8863784207,10.75901803482,0.0805364797986376
"OR",2022,69127.8522965962,59250.650722513,80651.603060358,11.1437130008536,0.0786652002150178
"CA",2003,58359.755968396,48763.7533710892,69844.1133268052,10.9743818211406,0.0916543699208028
"CA",2004,68683.6313181461,57221.3672153885,82441.9520297368,11.1372661866211,0.0931565721259272
"CA",2005,65073.9037102884,55380.0886939122,76464.5388616249,11.0832788831636,0.0822992086390276
"CA",2006,59592.8460379283,50836.0366181483,69858.0679209053,10.9952908129282,0.0810882495091433
"CA",2007,57136.4821440997,48489.658759168,67325.2333660894,10.953198108333,0.0837220871899385
"CA",2008,41255.4544782628,34997.0293217264,48633.0570678293,10.6275386127973,0.0839403957153251
"CA",2009,41464.019780177,35264.151123239,48753.9011026391,10.632581336914,0.082633742357555
"CA",2010,38077.1094007461,32465.6854006306,44658.4214201813,10.5473685774302,0.0813431277216911
"CA",2011,48458.8289578978,41406.6500514166,56712.1006180131,10.7884698289506,0.0802428279376164
"CA",2012,42525.3295161546,36363.7898312643,49730.8905053326,10.6578551659972,0.0798618717431955
"CA",2013,49576.6260090644,41785.0886173207,58821.0274950527,10.8112747518227,0.0872362604340738
"CA",2014,50335.9679173458,43162.5596495444,58701.5618802118,10.8264751684878,0.0784435050986448
"CA",2015,44891.2001130163,38135.2309133809,52844.0447145627,10.7119970659478,0.0832174659831403
"CA",2016,45953.9856102776,39117.6908426983,53985.0064760093,10.7353958620044,0.0821779218428025
"CA",2017,61891.9567978594,52669.9858834022,72728.5996382853,11.0331455115847,0.0823201183285284
"CA",2018,56780.1217482975,48086.6688761304,67045.2393792624,10.9469415742356,0.0847879411098062
"CA",2019,57820.252073931,46777.0941689765,71470.4837760142,10.965094375193,0.108137422732328
"CA",2021,86479.6164866351,74569.274110774,100292.30077479,11.3676640175974,0.075603527722411
"CA",2022,126361.267008196,107203.37884994,148942.784930938,11.7469002818379,0.0838878861499829
"North",2003,80691.39339,71605.98977,90929.55755,11.2983872,0.060946627
"North",2004,86700.44935,75238.50005,99908.52972,11.37021435,0.072346226
"North",2005,74853.56319,66053.98168,84825.40764,11.22328899,0.06380801
"North",2006,70421.11571,62155.02664,79786.52422,11.16224844,0.063705999
"North",2007,62738.23724,55340.26318,71125.18419,11.04672639,0.064016674
"North",2008,50244.37464,44410.75584,56844.27422,10.82465387,0.062968965
"North",2009,46889.31737,41225.63447,53331.0915,10.75554515,0.065679583
"North",2010,48646.88615,43153.89239,54839.07479,10.79234308,0.061131318
"North",2011,58017.55877,51499.33697,65360.78567,10.96850098,0.060805591
"North",2012,52046.07843,46327.97041,58469.95359,10.85988473,0.059380458
"North",2013,55266.72101,48332.73762,63195.47787,10.91992622,0.068400139
"North",2014,60615.58854,53769.10385,68333.84436,11.01230738,0.06115065
"North",2015,61836.0895,54692.28409,69913.00562,11.03224245,0.062636113
"North",2016,63093.90545,56189.92645,70846.16686,11.05237946,0.059126945
"North",2017,84080.11507,74632.42651,94723.78268,11.33952537,0.060814898
"North",2018,89447.05894,79123.47674,101117.6036,11.40140221,0.062571201
"North",2019,78326.34157,66256.83676,92594.45641,11.26863924,0.085381829
"North",2021,124740.43,111942.5286,139001.4596,11.7339903,0.055230309
"North",2022,183417.2089,163261.7752,206060.9255,12.11951867,0.059393179
"South",2003,28315.48077,21409.68148,37448.77996,10.25116396,0.142638056
"South",2004,31290.70538,24001.58536,40793.4821,10.35107638,0.135309229
"South",2005,30967.07831,24386.37413,39323.59662,10.34067993,0.121890052
"South",2006,27790.66888,21766.30784,35482.42,10.23245559,0.124664051
"South",2007,29975.30016,23825.03021,37713.22059,10.30812899,0.117163886
"South",2008,19994.9519,15598.03643,25631.30965,9.903235116,0.126703757
"South",2009,20579.25654,16192.08607,26155.11045,9.932038883,0.122329286
"South",2010,17526.63691,13625.01966,22545.50884,9.771477112,0.128478916
"South",2011,19923.58267,15335.42003,25884.46521,9.899659368,0.13354271
"South",2012,16664.64478,12761.89472,21760.90555,9.721044675,0.136138032
"South",2013,22386.43224,16988.75029,29499.07085,10.01621035,0.140769778
"South",2014,19217.64301,14723.82629,25083.00462,9.863584043,0.135901347
"South",2015,17841.49597,13442.71362,23679.66674,9.789282258,0.144436204
"South",2016,18681.72073,14279.95203,24440.32646,9.835300824,0.137088716
"South",2017,22833.96135,17357.33669,30038.58255,10.03600424,0.139917714
"South",2018,23077.06627,17411.58087,30586.02153,10.0465946,0.143729054
"South",2019,23610.79262,17286.46751,32248.89802,10.0694592,0.159074327
"South",2021,32435.30094,24853.01169,42330.8354,10.38700264,0.135853734
"South",2022,50954.4877,38457.25937,67512.86649,10.83868812,0.143566596
